,ID,etmiss,mtw,leadleptPt,leadleptEta,leadleptE,leadleptPhi,Q_leadlep,leadleptID,n_TopLRjets,leadTopLRjet_pt,leadTopLRjet_eta,leadTopLRjet_phi,leadTopLRjet_m,leadTopLRjet_Tau32,n_jets,leadjet_pt,leadjet_eta,n_bjets,leadbjet_pt,leadbjet_eta,ttbarMLR,largeRjet_pt_total,largeRjet_eta_total,largeRjet_phi_total,largeRjet_m_total,largeRjet_tau32_total,weight,scale,label
3076,signal,70.4256,71.5492,105.688,0.973928,159.901,-2.44147,1,11,1,309.19,1.40037,0.0643671,127.655,0.736203,1,254.22,0.725593,2,254.22,0.725593,715.269,676.537,2.21496,-2.73001,223.226,1.11614,1.15251,0.0567221,1
3077,signal,91.0904,12.2639,187.364,-0.345337,198.648,-2.83097,1,13,1,475.165,-0.895721,0.110253,177.375,0.285433,1,193.534,-0.642735,1,193.534,-0.642735,901.089,475.165,-0.895721,0.110253,177.375,0.285433,1.27996,0.0567221,1
3078,signal,54.3583,10.5306,62.1133,-0.199281,63.3509,1.79854,1,13,1,336.822,-0.739217,-1.73893,154.691,0.279616,2,262.486,-0.966395,1,208.286,-0.429341,0.0,336.822,-0.739217,-1.73893,154.691,0.279616,1.70651,0.0567221,1
3079,signal,132.885,64.7717,188.014,1.10763,315.631,1.11938,-1,13,1,444.448,0.481229,-1.96469,146.798,0.358629,2,232.232,1.05325,2,389.118,0.379142,0.0,444.448,0.481229,-1.96469,146.798,0.358629,0.568641,0.0567221,1
3080,signal,123.518,59.7259,164.015,-0.939608,241.902,-2.80149,-1,13,1,524.808,-0.753143,0.112669,129.951,0.46868,1,202.848,-0.776871,2,501.615,-0.769669,895.391,524.808,-0.753143,0.112669,129.951,0.46868,1.41864,0.0567221,1
3081,signal,46.0611,46.7178,98.7804,-1.22654,182.878,0.655116,1,13,1,388.867,-0.79248,-2.2452,116.562,0.518846,1,271.85,-0.819535,2,350.514,-0.867917,785.011,388.867,-0.79248,-2.2452,116.562,0.518846,1.56583,0.0567221,1
3082,signal,101.247,9.93488,33.7964,-1.8706,112.309,-0.137044,-1,11,1,340.325,-0.905889,-2.93961,173.628,0.460121,2,315.816,-0.923812,1,169.371,-1.13158,0.0,340.325,-0.905889,-2.93961,173.628,0.460121,0.972954,0.0567221,1
3083,signal,133.784,44.2248,66.0413,0.881898,93.4311,1.72632,1,13,1,424.793,0.710331,-0.82671,137.976,0.672673,1,306.728,1.25489,2,306.728,1.25489,848.253,424.793,0.710331,-0.82671,137.976,0.672673,0.80915,0.0567221,1
3084,signal,282.311,87.5609,46.2446,-0.676851,57.2482,-0.831713,1,11,1,372.581,0.592525,1.33299,175.038,0.445537,1,207.697,0.0756238,2,207.697,0.0756238,685.324,372.581,0.592525,1.33299,175.038,0.445537,1.39083,0.0567221,1
3085,signal,272.799,47.7543,87.789,1.87094,291.827,-1.38839,1,11,1,450.83,0.882195,1.52353,159.769,0.32375,1,120.4,0.887242,2,341.892,0.974159,0.0,450.83,0.882195,1.52353,159.769,0.32375,1.22219,0.0567221,1
3086,signal,234.627,47.996,52.8835,-0.223987,54.2157,1.69008,1,13,1,428.32,-1.25127,-0.96425,169.078,0.261621,1,179.562,-0.372722,2,179.562,-0.372722,722.833,428.32,-1.25127,-0.96425,169.078,0.261621,0.945899,0.0567221,1
3087,signal,100.391,94.8994,226.008,-0.84658,311.952,1.0973,1,13,1,412.925,-1.44445,-1.95733,116.497,0.748767,1,189.193,-0.692176,2,276.412,-1.42261,888.177,412.925,-1.44445,-1.95733,116.497,0.748767,0.826066,0.0567221,1
